Trade ID,Date,Type,Strike,Entry Price,Exit Price,Exit Reason,Quantity,Lots,Gross P&L,Commission,Net P&L,Return %
0,2022-05-04 00:00:00+05:30,PE,16650,89.04896,59.60314039679999,STOP_LOSS,75,3,-2208.43647024,120,-2328.43647024,-34.863764386692445
1,2022-09-13 00:00:00+05:30,CE,18100,88.10802,58.97334102659999,STOP_LOSS,75,3,-2185.1009230050004,120,-2305.1009230050004,-34.88295273619814
2,2023-01-11 00:00:00+05:30,PE,17850,81.80172,163.43983656,TARGET,75,3,6122.858742,120,6002.858742,97.84405090748703
3,2023-02-01 00:00:00+05:30,PE,17550,80.08,159.99984,TARGET,75,3,5993.988,120,5873.988,97.801998001998
4,2023-03-02 00:00:00+05:30,PE,17250,80.08,159.99984,TARGET,75,3,5993.988,120,5873.988,97.801998001998
5,2023-03-16 00:00:00+05:30,PE,16950,85.84576,171.51982848,TARGET,75,3,6425.555136,120,6305.555136,97.93619216604291
6,2023-09-06 00:00:00+05:30,CE,19650,84.50442,168.83983116,TARGET,75,3,6325.155836999999,120,6205.155836999999,97.90660791471026
7,2024-02-21 00:00:00+05:30,CE,22100,82.10202,54.95334504659999,STOP_LOSS,75,3,-2036.1506215050003,120,-2156.1506215050003,-35.015794926117536
8,2024-03-06 00:00:00+05:30,CE,22500,89.70962,60.045339954599996,STOP_LOSS,75,3,-2224.8210034050003,120,-2344.8210034050003,-34.850532245482704
9,2024-04-04 00:00:00+05:30,CE,22550,85.94586,171.71982828,TARGET,75,3,6433.047621000001,120,6313.047621000001,97.93836291823716
10,2024-05-23 00:00:00+05:30,CE,23000,87.14706,58.33014166979999,STOP_LOSS,75,3,-2161.2688747650004,120,-2281.2688747650004,-34.9029770255015
11,2024-09-19 00:00:00+05:30,CE,25450,86.40632,172.63982736,TARGET,75,3,6467.513052,120,6347.513052,97.94828359777388
12,2024-11-07 00:00:00+05:30,PE,24150,80.34026,53.774146225799996,STOP_LOSS,75,3,-1992.4585330650004,120,-2112.4585330650007,-35.05852952703913
13,2024-11-13 00:00:00+05:30,PE,23500,80.08,53.59994639999999,STOP_LOSS,75,3,-1986.0040200000003,120,-2106.0040200000003,-35.065001998002
14,2025-01-08 00:00:00+05:30,PE,23650,84.50442,56.56134343859999,STOP_LOSS,75,3,-2095.7307421050004,120,-2215.7307421050004,-34.96039208528975
